Ratio Data Name,Column,Column2,22rv1|nt|6h,Reference,22rv1|nt|6h vs. Reference,22rv2|olaparib|6h,Reference2,22rv2|olaparib|6h vs. Reference
Endogenous,ERCC6,NM_000124.2,121.51,121.51,1.00,151.20,121.51,1.24
Endogenous,ETS2,NM_005239.4,567.66,567.66,1.00,871.65,567.66,1.54
Endogenous,ETV1,NM_004956.4,418.95,418.95,1.00,365.78,418.95,-1.15
Endogenous,ETV4,NM_001079675.1,127.86,127.86,1.00,96.73,127.86,-1.32
Endogenous,ETV7,NM_016135.2,21.76,21.76,1.00,32.24,21.76,1.48
Endogenous,EZH2,NM_004456.3,796.18,796.18,1.00,777.15,796.18,-1.02
Endogenous,FANCA,NM_000135.2,282.02,282.02,1.00,243.48,282.02,-1.16
Endogenous,FANCB,NM_152633.2,183.18,183.18,1.00,153.43,183.18,-1.19
Endogenous,FANCC,NM_000136.2,583.08,583.08,1.00,615.94,583.08,1.06
Endogenous,FANCE,NM_021922.2,74.36,74.36,1.00,77.83,74.36,1.05
Endogenous,FANCG,NM_004629.1,254.81,254.81,1.00,240.15,254.81,-1.06
Endogenous,FANCL,NM_001114636.1,570.39,570.39,1.00,583.69,570.39,1.02
Endogenous,FAS,NM_152876.1,138.74,138.74,1.00,197.90,138.74,1.43
Endogenous,FASLG,NM_000639.1,10.88,10.88,1.00,5.56,10.88,-1.96
Endogenous,FBXW7,NM_018315.4,83.43,83.43,1.00,113.40,83.43,1.36
Endogenous,FEN1,NM_004111.4,1211.50,1211.50,1.00,1225.20,1211.50,1.01
Endogenous,FGF1,NM_033137.1,7.25,7.25,1.00,4.45,7.25,-1.63
Endogenous,FGF10,NM_004465.1,8.16,8.16,1.00,4.45,8.16,-1.84
Endogenous,FGF11,NM_004112.2,48.97,48.97,1.00,33.35,48.97,-1.47
Endogenous,FGF12,NM_004113.4,11.79,11.79,1.00,11.12,11.79,-1.06
Endogenous,FGF13,NM_033642.1,283.83,283.83,1.00,290.18,283.83,1.02
Endogenous,FGF14,NM_004115.3,6.35,6.35,1.00,4.45,6.35,-1.43
Endogenous,FGF16,NM_003868.1,4.53,4.53,1.00,7.78,4.53,1.72
Endogenous,FGF17,NM_003867.2,15.42,15.42,1.00,16.68,15.42,1.08
